Network,time,Median visit length
Sovereign Centre - wireless,22 Jun 2017 00:00:00,26.99
Sovereign Centre - wireless,22 Jun 2017 01:00:00,46.91
Sovereign Centre - wireless,22 Jun 2017 02:00:00,1440.00
Sovereign Centre - wireless,22 Jun 2017 03:00:00,30.00
Sovereign Centre - wireless,22 Jun 2017 04:00:00,22.02
Sovereign Centre - wireless,22 Jun 2017 05:00:00,35.58
Sovereign Centre - wireless,22 Jun 2017 06:00:00,23.00
Sovereign Centre - wireless,22 Jun 2017 07:00:00,23.44
Sovereign Centre - wireless,22 Jun 2017 08:00:00,22.50
Sovereign Centre - wireless,22 Jun 2017 09:00:00,43.49
Sovereign Centre - wireless,22 Jun 2017 10:00:00,29.00
Sovereign Centre - wireless,22 Jun 2017 11:00:00,28.62
Sovereign Centre - wireless,22 Jun 2017 12:00:00,22.06
Sovereign Centre - wireless,22 Jun 2017 13:00:00,25.00
Sovereign Centre - wireless,22 Jun 2017 14:00:00,30.00
Sovereign Centre - wireless,22 Jun 2017 15:00:00,20.70
Sovereign Centre - wireless,22 Jun 2017 16:00:00,27.69
Sovereign Centre - wireless,22 Jun 2017 17:00:00,28.51
Sovereign Centre - wireless,22 Jun 2017 18:00:00,22.09
Sovereign Centre - wireless,22 Jun 2017 19:00:00,20.70
Sovereign Centre - wireless,22 Jun 2017 20:00:00,19.71
Sovereign Centre - wireless,22 Jun 2017 21:00:00,14.23
Sovereign Centre - wireless,22 Jun 2017 22:00:00,45.00
Sovereign Centre - wireless,22 Jun 2017 23:00:00,20.80
