Network,time,Connected,Visitors,Passersby
Sovereign Centre - wireless,22 Jun 2017 00:00:00,1.00,9.00,68.00
Sovereign Centre - wireless,22 Jun 2017 01:00:00,0.00,4.00,47.00
Sovereign Centre - wireless,22 Jun 2017 02:00:00,0.00,30.00,24.00
Sovereign Centre - wireless,22 Jun 2017 03:00:00,0.00,6.00,47.00
Sovereign Centre - wireless,22 Jun 2017 04:00:00,0.00,6.00,47.00
Sovereign Centre - wireless,22 Jun 2017 05:00:00,0.00,13.00,54.00
Sovereign Centre - wireless,22 Jun 2017 06:00:00,0.00,13.00,82.00
Sovereign Centre - wireless,22 Jun 2017 07:00:00,1.00,16.00,130.00
Sovereign Centre - wireless,22 Jun 2017 08:00:00,1.00,24.00,170.00
Sovereign Centre - wireless,22 Jun 2017 09:00:00,3.00,126.00,204.00
Sovereign Centre - wireless,22 Jun 2017 10:00:00,5.00,154.00,330.00
Sovereign Centre - wireless,22 Jun 2017 11:00:00,12.00,205.00,720.00
Sovereign Centre - wireless,22 Jun 2017 12:00:00,16.00,292.00,651.00
Sovereign Centre - wireless,22 Jun 2017 13:00:00,12.00,348.00,1334.00
Sovereign Centre - wireless,22 Jun 2017 14:00:00,9.00,333.00,847.00
Sovereign Centre - wireless,22 Jun 2017 15:00:00,11.00,306.00,1380.00
Sovereign Centre - wireless,22 Jun 2017 16:00:00,6.00,232.00,509.00
Sovereign Centre - wireless,22 Jun 2017 17:00:00,4.00,311.00,690.00
Sovereign Centre - wireless,22 Jun 2017 18:00:00,8.00,303.00,685.00
Sovereign Centre - wireless,22 Jun 2017 19:00:00,7.00,249.00,629.00
Sovereign Centre - wireless,22 Jun 2017 20:00:00,9.00,228.00,432.00
Sovereign Centre - wireless,22 Jun 2017 21:00:00,4.00,140.00,590.00
Sovereign Centre - wireless,22 Jun 2017 22:00:00,3.00,38.00,198.00
Sovereign Centre - wireless,22 Jun 2017 23:00:00,1.00,16.00,131.00
